"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison"
0.711294457030799,0.0499661059212596,0.206,0.196,1,"Atad1","Pericyte","MCAO_vs_Sham"
0.711816354074235,0.00710131628599747,0.202,0.187,1,"Mycbp2","Pericyte","MCAO_vs_Sham"
0.712296740064345,0.0468811644640348,0.48,0.52,1,"Perp","Pericyte","MCAO_vs_Sham"
0.712737582355355,-0.0930088762098027,0.098,0.106,1,"Ap3m1","Pericyte","MCAO_vs_Sham"
0.712765255629878,-0.00425573359096842,0.185,0.171,1,"Acot9","Pericyte","MCAO_vs_Sham"
0.713217917040875,-0.0442812920221795,0.312,0.318,1,"Des","Pericyte","MCAO_vs_Sham"
0.713878016677087,-0.0168958534435172,0.398,0.408,1,"G3bp1","Pericyte","MCAO_vs_Sham"
0.714354368019146,-0.0655033322630022,0.179,0.187,1,"Bmpr2","Pericyte","MCAO_vs_Sham"
0.714881324671047,-0.131057759742009,0.114,0.121,1,"Kcnmb1","Pericyte","MCAO_vs_Sham"
0.715355137552127,-0.0383912842874627,0.535,0.548,1,"Rbm8a","Pericyte","MCAO_vs_Sham"
0.715365699663266,-0.09186195129132,0.28,0.287,1,"Tmem147","Pericyte","MCAO_vs_Sham"
0.716140132644923,-0.00200425427048101,0.162,0.171,1,"Ndufaf4","Pericyte","MCAO_vs_Sham"
0.717096819465086,-0.166616059425158,0.215,0.218,1,"Smarce1","Pericyte","MCAO_vs_Sham"
0.71832384116413,-0.0435631168114624,0.212,0.196,1,"Gnai3","Pericyte","MCAO_vs_Sham"
0.718626603539148,-0.12330182090127,0.109,0.115,1,"Ncor2","Pericyte","MCAO_vs_Sham"
0.719085360402286,-0.394147160898855,0.123,0.128,1,"Supt20","Pericyte","MCAO_vs_Sham"
0.719323655002774,0.0294755431605807,0.377,0.364,1,"Tsn","Pericyte","MCAO_vs_Sham"
0.719798502829249,-0.143072411704871,0.096,0.103,1,"Gm6483","Pericyte","MCAO_vs_Sham"
0.720185562910109,-0.258123690476516,0.11,0.115,1,"Sf3b3","Pericyte","MCAO_vs_Sham"
0.720541532829128,0.0435333734921484,0.136,0.146,1,"Casp8","Pericyte","MCAO_vs_Sham"
0.721168828533783,0.0629495887140854,0.25,0.24,1,"Sgta","Pericyte","MCAO_vs_Sham"
0.722413287604373,0.147321337358108,0.101,0.109,1,"Med30","Pericyte","MCAO_vs_Sham"
0.722755947460452,-0.0505845771418748,0.259,0.265,1,"Mrpl12","Pericyte","MCAO_vs_Sham"
0.722850822646313,0.0292220646330582,0.335,0.324,1,"Phb2","Pericyte","MCAO_vs_Sham"
0.724002724927793,0.100742694624979,0.17,0.162,1,"Dpm2","Pericyte","MCAO_vs_Sham"
0.724138173427694,-0.119711386795778,0.124,0.131,1,"Smchd1","Pericyte","MCAO_vs_Sham"
0.724194807464037,-0.0702557652029552,0.175,0.162,1,"Cflar","Pericyte","MCAO_vs_Sham"
0.724344103277042,0.0206666784835903,0.104,0.112,1,"Dnajc9","Pericyte","MCAO_vs_Sham"
0.724400275993149,0.196757729170181,0.232,0.227,1,"Whsc1l1","Pericyte","MCAO_vs_Sham"
0.724439585488377,-0.00153110677634039,0.403,0.389,1,"Rbm25","Pericyte","MCAO_vs_Sham"
0.724919901686016,-0.0841077755743035,0.299,0.305,1,"Hnrnph2","Pericyte","MCAO_vs_Sham"
0.724939160199319,-0.115489298324511,0.126,0.134,1,"Tmem230","Pericyte","MCAO_vs_Sham"
0.725570312480693,0.0655488793562513,0.132,0.125,1,"Qrich1","Pericyte","MCAO_vs_Sham"
0.725609804499182,-0.091437717327355,0.283,0.265,1,"Sh3glb2","Pericyte","MCAO_vs_Sham"
0.726012889390282,-0.0318530333516627,0.125,0.115,1,"Trappc2","Pericyte","MCAO_vs_Sham"
0.726508236944781,-0.213929286777759,0.246,0.246,1,"Fubp1","Pericyte","MCAO_vs_Sham"
0.726753792832618,-0.0328736403669627,0.531,0.536,1,"Rab11b","Pericyte","MCAO_vs_Sham"
0.72723999010328,-0.342865190626897,0.133,0.137,1,"Hspa14","Pericyte","MCAO_vs_Sham"
0.728210732511253,-0.184293983117674,0.193,0.199,1,"Zdhhc20","Pericyte","MCAO_vs_Sham"
0.728239057316354,0.00238964134252374,0.274,0.29,1,"Sec11c","Pericyte","MCAO_vs_Sham"
0.728980527055181,0.123759189903626,0.166,0.162,1,"Rnps1","Pericyte","MCAO_vs_Sham"
0.729210211829644,-0.192480372067322,0.184,0.19,1,"Snhg9","Pericyte","MCAO_vs_Sham"
0.729828466493879,0.0611655774531012,0.155,0.146,1,"Wwtr1","Pericyte","MCAO_vs_Sham"
0.730000542419625,-0.518790174346425,0.099,0.103,1,"Oxa1l","Pericyte","MCAO_vs_Sham"
0.732038071767927,0.078844661282255,0.244,0.234,1,"Flot1","Pericyte","MCAO_vs_Sham"
0.732242064634338,-0.127011361569622,0.19,0.196,1,"Slc25a17","Pericyte","MCAO_vs_Sham"
0.73233397897863,-0.13347430603657,0.127,0.134,1,"Crebbp","Pericyte","MCAO_vs_Sham"
0.732358993920518,-0.0933521151083052,0.565,0.558,1,"Ube2b","Pericyte","MCAO_vs_Sham"
0.732388712653242,-0.213673186614912,0.165,0.171,1,"Xrn2","Pericyte","MCAO_vs_Sham"
0.732710710450402,0.0877257004160152,0.438,0.449,1,"Isg15","Pericyte","MCAO_vs_Sham"
0.732723550470844,-0.124508206126235,0.123,0.131,1,"Zc3h13","Pericyte","MCAO_vs_Sham"
0.732956005356643,-0.00114940990841184,0.417,0.439,1,"Arpc4","Pericyte","MCAO_vs_Sham"
0.733317304232887,0.0415849963680026,0.953,0.941,1,"Rgs5","Pericyte","MCAO_vs_Sham"
0.733338349924678,0.0826596082332405,0.187,0.181,1,"Pdzd11","Pericyte","MCAO_vs_Sham"
0.733567038187476,-0.178177390326802,0.127,0.134,1,"Ahsa2","Pericyte","MCAO_vs_Sham"
0.733571612409355,-0.0230326131579556,0.208,0.196,1,"Taf13","Pericyte","MCAO_vs_Sham"
0.733732462604014,0.100629187636625,0.106,0.115,1,"Trim8","Pericyte","MCAO_vs_Sham"
0.734489557459077,-0.061579539019762,0.297,0.308,1,"Glo1","Pericyte","MCAO_vs_Sham"
0.73614128429699,-0.101907409699374,0.15,0.159,1,"Epn1","Pericyte","MCAO_vs_Sham"
0.736253883202543,-0.163935036747012,0.295,0.293,1,"Dnajc7","Pericyte","MCAO_vs_Sham"
0.737116541940667,-0.146872961257982,0.282,0.28,1,"Ndufs4","Pericyte","MCAO_vs_Sham"
0.737408346527026,-0.0587306439334003,0.302,0.287,1,"Fbxw2","Pericyte","MCAO_vs_Sham"
0.737524553567651,0.112386276635083,0.184,0.178,1,"Gm10020","Pericyte","MCAO_vs_Sham"
0.737868828514841,-0.0375244737612893,0.237,0.224,1,"Hax1","Pericyte","MCAO_vs_Sham"
0.738119833007291,0.17162629816714,0.129,0.14,1,"Srsf1","Pericyte","MCAO_vs_Sham"
0.738322099152198,-0.121149352788443,0.112,0.103,1,"Abhd5","Pericyte","MCAO_vs_Sham"
0.738530867026917,0.0761357081607424,0.221,0.212,1,"Plod1","Pericyte","MCAO_vs_Sham"
0.739452162541909,-0.0598269434746476,0.264,0.243,1,"Magoh","Pericyte","MCAO_vs_Sham"
0.740186950880992,-0.033616098093245,0.143,0.134,1,"Lrrc16a","Pericyte","MCAO_vs_Sham"
0.741241852906799,-0.335302809496721,0.103,0.109,1,"Erf","Pericyte","MCAO_vs_Sham"
0.741651188955575,0.0126419942174816,0.353,0.33,1,"Adrm1","Pericyte","MCAO_vs_Sham"
0.741804023027818,0.080392176167662,0.347,0.343,1,"Tram1","Pericyte","MCAO_vs_Sham"
0.742061672890292,0.0121634496535148,0.12,0.112,1,"Wrnip1","Pericyte","MCAO_vs_Sham"
0.742743002524342,-0.233928536242413,0.145,0.15,1,"Rpl13-ps3","Pericyte","MCAO_vs_Sham"
0.743737071158171,0.0210939370398943,0.414,0.399,1,"Cetn3","Pericyte","MCAO_vs_Sham"
