"dataset","cell_type","pathway","n_core_genes","mean_stroke","mean_ctrl","delta","delta_z","first_auth","journal_tier","weight","time_bin","days_post","assay","species"
"GSE276202","Astrocyte","Apoptosis",9,0.267701002573431,0.244352650746614,0.0233483518268169,0.457139261591735,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Astrocyte","Ferroptosis",8,0.186379445302919,0.274846857407141,-0.0884674121042226,-0.253170840442655,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Astrocyte","Necroptosis",7,0.314472161612127,0.291356889844804,0.0231152717673231,-0.181819487680935,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Endothelial","Apoptosis",9,0.477544580198735,0.553513220665911,-0.0759686404671767,-0.257887921304802,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Endothelial","Ferroptosis",8,0.252949470091428,0.435547218018057,-0.182597747926629,-1.50469854851572,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Endothelial","Necroptosis",7,0.283387320835186,0.410118294083358,-0.126730973248172,-2.04682182614431,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","OPC","Apoptosis",9,0.175437752738842,0.113662414698097,0.0617753380407449,0.733792219611394,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","OPC","Ferroptosis",8,0.178849509708591,0.206956387615229,-0.0281068779066382,0.549364074177156,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","OPC","Necroptosis",7,0.206378239692442,0.138984553520553,0.0673936861718884,0.369274377897247,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE279666","Neuron","Apoptosis",9,0.0784141906071304,0.0532463822850856,0.0251678083220448,0.0809836180997508,"Ikegami T",2,0.104343078959024,"Multi",NA,"snRNA","Mouse"
"GSE279666","Neuron","Ferroptosis",9,0.333407572259439,0.220464015841977,0.112943556417462,0.0346781296810032,"Ikegami T",2,0.104343078959024,"Multi",NA,"snRNA","Mouse"
"GSE279666","Neuron","Necroptosis",7,0.0235893785568236,0.0240650406650209,-0.000475662108197349,0.0665602960353839,"Ikegami T",2,0.104343078959024,"Multi",NA,"snRNA","Mouse"
"GSE279666","Oligodendrocyte","Apoptosis",9,0.0923183508763123,0.0725096195956801,0.0198087312806321,-0.0883007142578614,"Ikegami T",2,0.104343078959024,"Multi",NA,"snRNA","Mouse"
"GSE279666","Oligodendrocyte","Ferroptosis",9,0.188660518834675,0.0933463174070785,0.0953142014275963,-0.581884444250346,"Ikegami T",2,0.104343078959024,"Multi",NA,"snRNA","Mouse"
