"","Neuron-Stroke","Oligodendrocyte-Stroke","Pericyte-Stroke","Fibroblast-Stroke","Endothelial-Stroke","Microglia-Stroke","Astrocyte-Stroke","OPC-Stroke","Neuron-Sham","Astrocyte-Sham","OPC-Sham","Oligodendrocyte-Sham","Microglia-Sham","Fibroblast-Sham","Pericyte-Sham","Endothelial-Sham"
"Hmgb2",0.0519800264786871,0.0390293732951443,0.131173958191425,0.154017127591967,0.383458157758323,0.26905436624497,0.266907517992126,0.154979201332233,0.0497391351808716,0.144216960429269,0.16675704541029,0.0723414893132662,0.0559445988459593,0,0.219691199331625,0.622182101214701
"Uba52",0.183676882763946,0.286716595937085,0.375968059645163,0.281820365449606,0.493676239830903,0.352523642194164,0.265755828930849,0.212257591329418,0.177354261424408,0.249158113662821,0.164676772337286,0.391910563686684,0.31523989237811,0.753671843387799,0.278789508452321,1.01778020921974
"Hmox1",0.0237560822443204,0.0148940408726701,0.0384214028497526,0.062773024468082,0.0460881916293475,0.23416842632626,0.103519235126117,0.0444049157275076,0.0117374555583932,0.0214717188521458,0.0156018698490747,0,0.0103409952593699,0.0345761878589959,0,0.0236823088180627
"Cyld",1.86933452871266,1.87021170871607,1.00521529264697,1.06620984455065,1.11763656448245,1.50394355310384,1.02697778168028,1.96071401963206,1.87585607442727,1.07237824226778,2.49190221916698,2.07141739320781,1.52073454615883,1.11982345229578,1.1334880834301,0.95416881494232
"Mmp2",0.00568676086864895,0.0121750331356542,0.0125465931355382,0.160862814586308,0.00412603269665649,0.0552289440861585,0.0415809960722592,0.141421039170954,0.00646812402265243,0.00575739690157654,0.192804441889715,0,0.0900692612827063,0.151656186627399,0,0
"Tradd",0.0343180114962043,0.0719652814565258,0.0554192246613382,0.0774835430756518,0.0692954113149263,0.0885458560906497,0.0379752175109788,0.045293598321584,0.0328236896437483,0.0271674348173064,0.0330656220892244,0.0623926942241937,0,0.0442701975853041,0.139999517648489,0.0776036062369616
"Mlkl",0.0062529672907727,0.0796060298411487,0.0880932445971101,0.215248870102138,0.252862592616015,0.0319059109935902,0.0145587005429408,0.0926432084663351,0.00197775691112905,0,0,0.0692471638496348,0.0103409952593699,0.123738579085704,0.13510269518978,0.131922622155477
"Map1lc3b",0.485660175840012,0.744426390506345,0.750100096873245,0.64062756847735,1.1516998490627,0.674842440348346,0.973774453819701,0.463382792199317,0.558577136997285,0.887869880868648,0.523243302094366,0.804920612898482,0.871752717119635,0.972043076714165,1.42575559204016,1.20539177752277
"Casp1",0.014171873546157,0.010320848721589,0.0215658593101085,0.0412073957909443,0.00514780740603703,0.186576049163958,0.00807706178702071,0.0059846388180299,0.0125903472258683,0.0110374479487018,0,0,0.104436095860859,0.0400537176657043,0,0.0303524221070338
"Casp4",0.0149797550570401,0.0098176394304631,0.0170572794147988,0.381254502396765,0.349094766588161,0.531065436691084,0.0154409987569785,0.02171615805585,0.00212404833477365,0,0,0,0.15086469101334,0.0439588544584816,0,0.0603128760613749
"Birc2",0.547250581376018,0.491986287755796,0.652645550638617,0.802500999762433,0.595391745728879,0.439499023827695,0.536988787376333,0.561653575068662,0.550700386003023,0.508965485652706,0.541954854716195,0.658355730020746,0.357945774987363,0.963357660558157,0.377238916882574,0.54095922328397
"Birc3",0.0614417282019531,0.0191842051266774,0.240891755443823,0.692079582568534,0.517542044224977,0.820775250592383,0.122892679646556,0.0226467633972916,0.0242020955094192,0.03509482973592,0,0.00826330397379327,0.558576900944649,0.519370577915766,0.264037576036727,0.340436116165873
"Cdc37",0.371448356438823,0.436454067429381,0.772726281367258,0.561750684508349,0.759465044266349,0.636233048250943,0.425773281441891,0.348094456569016,0.416361275036362,0.552750144515016,0.429101873808257,0.535088985741598,0.653515058305045,0.559347937009038,0.537597299705259,1.3074604660975
"Fez1",1.17571382532864,2.60390579768274,0.999895877267493,0.65762409323386,0.667517533869885,0.598211620277727,1.35606282468172,1.12078018781944,1.30882749137153,1.47444961925811,1.29817721014374,2.92037951460223,0.78563204674387,0.623504594823683,1.22736251318006,1.01785022259926
"Sc5d",0.337108209656195,0.339270072449479,0.243455033455773,0.17213136114351,0.349529094255098,0.185382730907052,0.569808666023846,0.299373891618413,0.344139934646787,0.504346859588381,0.240291081427955,0.489611557042508,0.10758769271183,0.0742176783022975,0.348231108786251,0.464908349827615
"Il18",0.154649891991035,1.39701484084582,0.323806207119733,0.790884491952229,0.256888465427896,0.769078988608978,2.66569805805805,1.05201332473074,0.127453847898584,3.39942625318279,1.38583739957042,1.58735932380893,1.03588515449167,0.686120007749914,0.0652940639501874,0.180539110839303
"Ireb2",0.751959703286046,0.703546737969314,0.880375684580706,1.07424758745446,0.92875181666937,1.15334144071787,0.740076108527909,0.87146568389238,0.751147164270835,0.62606355225407,0.734755508778351,0.690524346899869,1.2373255538383,0.786213223259151,0.145342167593313,0.708138013710413
"Bcl2l10",0.00410250894230454,0,0,0,0,0,0.000289706200099365,0.00228040807268913,0.00606499168654625,0.00397927166545506,0,0,0,0,0,0
"Gclc",0.697715474348243,0.532346846892008,0.397118669515415,0.793973903889866,0.514125637559262,0.787618652924183,0.658068753327057,0.468425390469359,0.610261204885528,0.596000629631407,0.298363489505082,0.454794318152818,0.863544064818454,0.669441286856433,0.286044704306878,0.320038686648161
"Trf",0.587375149941329,12.0834121223514,1.66477850950172,0.967954860559121,1.14149080477216,2.21219815887607,0.874473117982849,0.916073945128498,0.392612654314573,0.55860724943598,0.647281542206673,10.4701015729014,2.27020223542678,1.35886516300299,0.827653437597136,0.658796782689519
"Gpx1",0.162911958479403,0.223793310499439,0.309540226305773,0.255230274146953,0.722092369286901,0.359153470758134,0.245663053252893,0.155549763347158,0.169698479231841,0.328998843017909,0.142487638440638,0.296808635217997,0.271297748072622,0.471247066260334,0.500192591663688,0.475077674900485
"Pdcd6ip",0.650038815005203,1.75365532414485,0.559094593990036,0.988613889806385,1.02116612589386,1.12134420777136,0.66622146423641,0.975913776355841,0.657298748509516,0.560789039308379,0.521836304439424,1.60471973786033,1.03774736736504,0.828081742776786,0.40730911787963,0.775910146078659
"Ctnnb1",0.724235888984422,0.724467932365523,1.38443871302908,1.64599022082928,3.40221798318928,1.14338713207157,0.911162840525645,0.80599715538203,0.64423996576525,0.740049467352783,1.0293094190812,0.626619972030888,0.984770415119309,1.88135667654102,1.149424254923,3.75260827909233
"Ifngr1",0.141630197508903,0.182562011457181,0.364134403484106,0.25015392697258,0.509894499394468,1.46697839522097,0.252134033253934,0.143852654188099,0.132192496042916,0.214407425375616,0.253907773735169,0.141582452882714,2.01818021897992,0.223605615199951,0.352824928087858,0.416328390165297
